"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
1.5,0.889157474688224,0.367657120606486,0.0345344705812474,0.0163963738080785,0.0345344705811242,0.0163963738078811,-0.238069643702787,0.560046017595257
1.78333333333333,0.924873714653346,-0.15591905708544,0.05999807845009,-0.0121817242581133,0.059998078450112,-0.0121817242579566,0.258429497050642,0.418922835014545
2.06666666666667,0.167150358249678,-0.387975326462428,0.0223715841493422,-0.0937555110688362,0.0223715841491507,-0.0937555110677912,0.431704791934177,-0.0259493358960479
2.35,0.292826523387764,0.0894481963704171,-0.061709322106315,-0.0232053289360023,-0.0617093221051511,-0.0232053289429109,0.164728822286755,-0.363420858036161
2.63333333333333,0.424232821074682,-0.0111984574102666,-0.0410973572147613,0.0182747324115905,-0.0410973572153693,0.0182747324105844,-0.185750901121284,-0.290117546000438
2.91666666666667,0.387557835278477,-0.099391938120482,-0.0066234216417258,0.0350281320633571,-0.00662342164181854,0.0350281320636187,-0.240858973315345,0.00391004646620349
3.2,0.342994053687825,-0.127906015181619,0.0208227378920149,0.0224672597058251,0.0208227378919703,0.022467259705749,-0.0082869645763093,0.135050089238702
3.48333333333333,0.301535337858601,-0.169162958478365,0.0292127054905282,-0.0050778104931967,0.0292127054905188,-0.00507781049317128,0.185586991881274,-0.0189277115861917
3.76666666666667,0.205484464503496,-0.196185761714543,0.00916212762348485,-0.0295437982594443,0.00916212762348755,-0.0295437982594479,0.156039566885223,-0.242064297578913
4.05,0.0895908217961247,-0.134658611617161,-0.0247043200194292,-0.0211206842645261,-0.0247043200194217,-0.021120684264529,-0.0152982961723006,-0.347023866645085
4.33333333333333,0.0514948504186906,0.00534522718209527,-0.0284063555592045,0.0133572972447544,-0.0284063555592432,0.0133572972447949,-0.192847107224073,-0.295822553424966
4.61666666666667,0.121500505749665,0.12744704533008,-0.00194855794499632,0.0248596839053569,-0.00194855794498212,0.0248596839053634,-0.262256098225694,-0.126013256539354
4.9,0.241230881743898,0.171868104211111,0.00963383456609715,0.0110361024415309,0.00963383456609242,0.0110361024415367,-0.137493531101721,0.021935152825513
5.18333333333333,0.350994421906246,0.142515022788173,0.00606413793639526,0.00626619900405335,0.00606413793638706,0.00626619900405054,0.0505617515089322,-0.0460703153276417
5.46666666666667,0.418777878858765,0.0720593650226506,0.00999319368318497,0.00667161830813811,0.00999319368321665,0.00667161830804611,0.0627082418123437,-0.23616782280292
5.75,0.444098322745287,-0.00625097694516637,0.013215107411293,-0.000704864257360745,0.013215107411293,-0.000704864257360861,-0.0679179439118624,-0.331746242947573
6.03333333333333,0.442075998315567,-0.0748870993459494,0.00601196015179876,-0.00911625716694803,0.00601196015179902,-0.00911625716694816,-0.194844867508605,-0.301174638916927
6.31666666666667,0.426290940710338,-0.133581363381873,-0.00591341309289357,-0.00310253472854218,-0.00591341309289321,-0.00310253472854159,-0.241890898603664,-0.216215389887666
6.6,0.40041974570118,-0.187359175193795,0.000465943341489579,0.0105797226034747,0.00046594334149524,0.01057972260347,-0.217841088911302,-0.150667056533341
6.88333333333333,0.358080369748792,-0.238819233865407,0.00864082914262927,0.00179629609258617,0.00864082914263046,0.00179629609258773,-0.164501622971242,-0.147943799600632
7.16666666666667,0.299326451231284,-0.26565959076742,0.000556129725855677,0.0234468043293636,0.000556129725857565,0.023446804329364,-0.149935728067935,-0.188336212718279
7.45,0.253683854843801,-0.304530907872621,0.0595449566028927,0.019500056979206,0.0595449566028939,0.0195000569792132,-0.173455490338386,-0.239790776763676
7.73333333333333,0.137627729851125,-0.343321092473479,0.0704036042229404,-0.0582948228816113,0.0704036042229527,-0.0582948228816132,-0.23167937729126,-0.241789948160903
8.01666666666667,-0.0172905550365179,-0.280042330374965,-0.00870101940354228,-0.109485292869898,-0.00870101940353732,-0.109485292869885,-0.274812395537666,-0.217830328934182
8.3,-0.0965583610982806,-0.123523582915585,-0.0937293046054621,-0.0555058457910883,-0.0937293046054476,-0.0555058457910825,-0.291815357962347,-0.156759506483371
8.58333333333333,-0.0806573512520977,0.0322624495100656,-0.0808481464701037,0.0350273738897197,-0.0808481464700658,0.035027373889728,-0.21610107437773,-0.114104795010199
8.86666666666667,-0.0160430708841576,0.155474737347852,-0.0125866174070626,0.0510527934459728,-0.0125866174070604,0.0510527934459676,-0.140864607797593,-0.200578477609524
9.15,0.0832789583140009,0.262967024626616,0.00510635653978651,0.0138663010851984,0.00510635653984746,0.0138663010851908,-0.189625509292908,-0.336386466782587
9.43333333333333,0.250421206146194,0.328209316083451,-0.0147339122644821,0.0127834364645596,-0.0147339122644994,0.0127834364645552,-0.350357310174767,-0.386860794532596
9.71666666666667,0.425085629959355,0.292001406340791,-7.62040261647751E-05,0.0289670487906521,-7.62040261278571E-05,0.0289670487906194,-0.485948747314908,-0.302168245299376
10,0.553604285974302,0.195906912163122,0.0149344863127534,0.0170546136847262,0.0149344863127319,0.0170546136847375,-0.523192356688513,-0.185833108768799
